id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,year_label,fiscal_year,month,is_ttm
1147,POWERGRID,Sep 2024,9301.0,82760,122568.0,40668.0,255297.0,174178.0,23767,3410,53941,255297.0,Sep 2024,2024.0,Sep,False
1148,POWERGRID,Mar 2013,4630.0,21773,69233.0,17748.0,113384.0,62568.0,35265,586,14964,113384.0,Mar 2013,2013.0,Mar,False
1149,POWERGRID,Mar 2014,5232.0,29466,84220.0,22562.0,141480.0,74252.0,50069,423,16736,141480.0,Mar 2014,2014.0,Mar,False
1150,POWERGRID,Mar 2015,5232.0,33207,96243.0,26102.0,160784.0,91191.0,53681,220,15693,160784.0,Mar 2015,2015.0,Mar,False
1151,POWERGRID,Mar 2016,5232.0,38738,108545.0,26797.0,179312.0,115094.0,45611,919,17688,179312.0,Mar 2016,2016.0,Mar,False
1152,POWERGRID,Mar 2017,5232.0,44634,118988.0,26809.0,195662.0,137678.0,38264,1165,18555,195662.0,Mar 2017,2017.0,Mar,False
1153,POWERGRID,Mar 2018,5232.0,49194,131503.0,39425.0,225354.0,156198.0,37669,1224,30264,225354.0,Mar 2018,2018.0,Mar,False
1154,POWERGRID,Mar 2019,5232.0,53857,146376.0,41916.0,247380.0,172740.0,37631,1296,35713,247380.0,Mar 2019,2019.0,Mar,False
1155,POWERGRID,Mar 2020,5232.0,59464,148270.0,43706.0,256671.0,181112.0,35177,1431,38951,256671.0,Mar 2020,2020.0,Mar,False
1156,POWERGRID,Mar 2021,5232.0,64704,143232.0,42539.0,255708.0,183726.0,24838,1486,45659,255708.0,Mar 2021,2021.0,Mar,False
1157,POWERGRID,Mar 2022,6975.0,69272,134696.0,40008.0,250950.0,191773.0,12854,3788,42536,250950.0,Mar 2022,2022.0,Mar,False
1158,POWERGRID,Mar 2023,6975.0,76051,128584.0,40615.0,252225.0,185437.0,13772,3489,49527,252225.0,Mar 2023,2023.0,Mar,False
1159,POWERGRID,Mar 2024,9301.0,77845,123516.0,40168.0,250829.0,177761.0,18197,4163,50708,250829.0,Mar 2024,2024.0,Mar,False
1160,POWERGRID,Sep 2024,9301.0,82760,122568.0,40668.0,255297.0,174178.0,23767,3410,53941,255297.0,Sep 2024,2024.0,Sep,False
1161,RECLTD,Mar 2013,987.0,16543,107762.0,5277.0,130570.0,72.0,9,638,129851,130570.0,Mar 2013,2013.0,Mar,False
1162,RECLTD,Mar 2014,987.0,19816,126173.0,5968.0,152944.0,73.0,10,1690,151170,152944.0,Mar 2014,2014.0,Mar,False
1163,RECLTD,Mar 2015,987.0,24085,150979.0,7404.0,183456.0,110.0,10,1596,181740,183456.0,Mar 2015,2015.0,Mar,False
